TypHPW,TypDS,Wotzka1995,Notiz
1,C1,60,od C2
2,I2,61,
3,B1,61,
4,J1,61,od was I?
5,E1,61,
6,I1,61,
7,C1,61,od B1
8,H2,61,
9,C1,61,
10,C1,61,
11,E2,61,
12,H1,62,
13,E2,62,
14,D1,62,
15,I2,62,
16,,69,k.a.
17,B1,74,
18,A?,74,
19,G1,78,?
20,E1,79,
21,E2,79,
22,B1,79,?
23,E2,79,
24,C1,79,
25,E2,79,
26,B3,79f.,od A3
27,G1,85,od G2
28,G1,85,
29,E1,90,
30,B6,90,od B5
31,F7,91,
32,F5,91,
33,E2,94,
34,B1,100,od B?
35,F3,101,?
36,G4,101,
37,G3,105,?
38,G3,108,od I2?
39,G3,108,
40,I2,108f.,
41,B1,116,od E1?
42,E1,116,
43,E1,116f.,
44,F4,121,
45,F4,121,
46,J1,122,
47,A2,122,?
48,F4,122,
49,E2,122,
50,J1,122,
51,A2,122,?
52,,122,A?
53,C2,128f.,
54,I4,129,od I3
55,C2,129,od E2
56,C2,129,
57,C2,129,od D1
58,E1,129,
59,D1,144,
60,C2,129,od B4
61,,129,Reiseherd
62,E2,130,
63,A2,130,
64,A2,130,
65,B4,130,od H2
66,,130,k.a.
67,D1,139,od E1
68,E1,139,
69,E1,144,
70,E1,144,
71,C1,172,
72,D1,144,?
73,A2,145,?
74,G6,151,od I2?
75,E1,151,
76,I1,151,
77,E1,151,
78,B2,151,
79,B4,151,od G2
80,E1,152,
81,E1,152,?
82,,152,A?
83,A2,152,
84,,152,?
85,,152,"Zwischenboden, Sieb"
86,C2,159,
87,C1,164,
88,C2,163,
89,C2,168,od B4
90,C1,168f.,
91,C2,176,
92,C1,176,
93,C1,176,
94,C2,176,
95,C2,182,
96,,182,k.a.
97,I2,190,
98,E1,190,
99,H2,190,
100,E2,190,
101,E2,190,
102,,190,k.a.
103,G4,190,
104,A2,190,
105,C1,194,
106,C1,194,
108,C1,199,
109,D2,207,
110,E2,208,
111,F7,208,
112,E1,208,od B4
113,H2,208,
114,F7,208,
115,I4,208,
